problem_idx,math_verify_score,run_id
0,1,d2940rxp
1,1,d2940rxp
2,1,d2940rxp
3,1,d2940rxp
4,1,d2940rxp
5,1,d2940rxp
6,1,d2940rxp
7,1,d2940rxp
8,1,d2940rxp
9,1,d2940rxp
10,1,d2940rxp
11,1,d2940rxp
12,1,d2940rxp
13,1,d2940rxp
14,1,d2940rxp
15,1,d2940rxp
16,1,d2940rxp
17,1,d2940rxp
18,1,d2940rxp
19,1,d2940rxp
20,1,d2940rxp
21,1,d2940rxp
22,1,d2940rxp
23,1,d2940rxp
24,1,d2940rxp
25,1,d2940rxp
26,1,d2940rxp
27,1,d2940rxp
28,1,d2940rxp
29,1,d2940rxp
30,1,d2940rxp
31,1,d2940rxp
32,1,d2940rxp
33,1,d2940rxp
34,1,d2940rxp
35,1,d2940rxp
36,1,d2940rxp
37,1,d2940rxp
38,1,d2940rxp
39,1,d2940rxp
40,1,d2940rxp
41,1,d2940rxp
42,1,d2940rxp
43,1,d2940rxp
44,1,d2940rxp
45,1,d2940rxp
46,1,d2940rxp
47,1,d2940rxp
48,1,d2940rxp
49,1,d2940rxp
50,1,d2940rxp
51,1,d2940rxp
52,1,d2940rxp
53,1,d2940rxp
54,1,d2940rxp
55,1,d2940rxp
56,1,d2940rxp
57,1,d2940rxp
58,1,d2940rxp
59,1,d2940rxp
60,1,d2940rxp
61,1,d2940rxp
62,1,d2940rxp
63,1,d2940rxp
64,1,d2940rxp
65,1,d2940rxp
66,1,d2940rxp
67,1,d2940rxp
68,1,d2940rxp
69,1,d2940rxp
70,1,d2940rxp
71,1,d2940rxp
72,1,d2940rxp
73,1,d2940rxp
74,1,d2940rxp
75,1,d2940rxp
76,1,d2940rxp
77,1,d2940rxp
78,1,d2940rxp
79,1,d2940rxp
80,1,d2940rxp
81,1,d2940rxp
82,1,d2940rxp
83,1,d2940rxp
84,1,d2940rxp
85,1,d2940rxp
86,1,d2940rxp
87,1,d2940rxp
88,1,d2940rxp
89,1,d2940rxp
90,1,d2940rxp
91,1,d2940rxp
92,1,d2940rxp
93,1,d2940rxp
94,1,d2940rxp
95,1,d2940rxp
96,1,d2940rxp
97,1,d2940rxp
98,1,d2940rxp
99,1,d2940rxp
100,1,d2940rxp
101,1,d2940rxp
102,1,d2940rxp
103,1,d2940rxp
104,1,d2940rxp
105,1,d2940rxp
106,1,d2940rxp
107,1,d2940rxp
108,1,d2940rxp
109,1,d2940rxp
110,1,d2940rxp
111,1,d2940rxp
112,1,d2940rxp
113,1,d2940rxp
114,1,d2940rxp
115,1,d2940rxp
116,1,d2940rxp
117,1,d2940rxp
118,1,d2940rxp
119,1,d2940rxp
120,1,d2940rxp
121,1,d2940rxp
122,1,d2940rxp
123,1,d2940rxp
124,1,d2940rxp
125,1,d2940rxp
126,1,d2940rxp
127,1,d2940rxp
128,1,d2940rxp
129,1,d2940rxp
130,1,d2940rxp
131,1,d2940rxp
132,1,d2940rxp
133,1,d2940rxp
134,1,d2940rxp
135,1,d2940rxp
136,1,d2940rxp
137,1,d2940rxp
138,1,d2940rxp
139,1,d2940rxp
140,1,d2940rxp
141,1,d2940rxp
142,1,d2940rxp
143,1,d2940rxp
144,1,d2940rxp
145,1,d2940rxp
146,1,d2940rxp
147,1,d2940rxp
148,1,d2940rxp
149,1,d2940rxp
150,1,d2940rxp
151,1,d2940rxp
152,1,d2940rxp
153,1,d2940rxp
154,1,d2940rxp
155,1,d2940rxp
156,1,d2940rxp
157,1,d2940rxp
158,1,d2940rxp
159,1,d2940rxp
160,1,d2940rxp
161,1,d2940rxp
162,1,d2940rxp
163,1,d2940rxp
164,1,d2940rxp
165,1,d2940rxp
166,1,d2940rxp
167,1,d2940rxp
168,1,d2940rxp
169,1,d2940rxp
170,1,d2940rxp
171,1,d2940rxp
172,1,d2940rxp
173,1,d2940rxp
174,1,d2940rxp
175,1,d2940rxp
176,1,d2940rxp
177,1,d2940rxp
178,1,d2940rxp
179,1,d2940rxp
180,1,d2940rxp
181,1,d2940rxp
182,1,d2940rxp
183,1,d2940rxp
184,1,d2940rxp
185,1,d2940rxp
186,1,d2940rxp
187,1,d2940rxp
188,1,d2940rxp
189,1,d2940rxp
190,1,d2940rxp
191,1,d2940rxp
192,1,d2940rxp
193,1,d2940rxp
194,1,d2940rxp
195,1,d2940rxp
196,1,d2940rxp
197,1,d2940rxp
198,1,d2940rxp
199,1,d2940rxp
200,1,d2940rxp
201,1,d2940rxp
202,1,d2940rxp
203,1,d2940rxp
204,1,d2940rxp
205,1,d2940rxp
206,1,d2940rxp
207,1,d2940rxp
208,1,d2940rxp
209,1,d2940rxp
210,1,d2940rxp
211,1,d2940rxp
212,1,d2940rxp
213,1,d2940rxp
214,1,d2940rxp
215,1,d2940rxp
216,1,d2940rxp
217,1,d2940rxp
218,1,d2940rxp
219,1,d2940rxp
220,1,d2940rxp
221,1,d2940rxp
222,1,d2940rxp
223,1,d2940rxp
224,1,d2940rxp
225,1,d2940rxp
226,1,d2940rxp
227,1,d2940rxp
228,1,d2940rxp
229,1,d2940rxp
230,1,d2940rxp
231,1,d2940rxp
232,1,d2940rxp
233,1,d2940rxp
234,1,d2940rxp
235,1,d2940rxp
236,1,d2940rxp
237,1,d2940rxp
238,1,d2940rxp
239,1,d2940rxp
240,1,d2940rxp
241,1,d2940rxp
242,1,d2940rxp
243,1,d2940rxp
244,1,d2940rxp
245,1,d2940rxp
246,1,d2940rxp
247,1,d2940rxp
248,1,d2940rxp
249,1,d2940rxp
250,1,d2940rxp
251,1,d2940rxp
252,1,d2940rxp
253,1,d2940rxp
254,1,d2940rxp
255,1,d2940rxp
256,1,d2940rxp
257,1,d2940rxp
258,1,d2940rxp
259,1,d2940rxp
260,1,d2940rxp
261,1,d2940rxp
262,1,d2940rxp
263,1,d2940rxp
264,1,d2940rxp
265,1,d2940rxp
266,1,d2940rxp
267,1,d2940rxp
268,1,d2940rxp
269,1,d2940rxp
270,1,d2940rxp
271,1,d2940rxp
272,1,d2940rxp
273,1,d2940rxp
274,1,d2940rxp
275,1,d2940rxp
276,1,d2940rxp
277,1,d2940rxp
278,1,d2940rxp
279,1,d2940rxp
280,1,d2940rxp
281,1,d2940rxp
282,1,d2940rxp
283,1,d2940rxp
284,1,d2940rxp
285,1,d2940rxp
286,1,d2940rxp
287,1,d2940rxp
288,1,d2940rxp
289,1,d2940rxp
290,1,d2940rxp
291,1,d2940rxp
292,1,d2940rxp
293,1,d2940rxp
294,1,d2940rxp
295,1,d2940rxp
296,1,d2940rxp
297,1,d2940rxp
298,1,d2940rxp
299,1,d2940rxp
300,1,d2940rxp
301,1,d2940rxp
302,1,d2940rxp
303,1,d2940rxp
304,1,d2940rxp
305,1,d2940rxp
306,1,d2940rxp
307,1,d2940rxp
308,1,d2940rxp
309,1,d2940rxp
310,1,d2940rxp
311,1,d2940rxp
312,1,d2940rxp
313,1,d2940rxp
314,1,d2940rxp
315,1,d2940rxp
316,1,d2940rxp
317,1,d2940rxp
318,1,d2940rxp
319,1,d2940rxp
320,1,d2940rxp
321,1,d2940rxp
322,1,d2940rxp
323,1,d2940rxp
324,1,d2940rxp
325,1,d2940rxp
326,1,d2940rxp
327,1,d2940rxp
328,1,d2940rxp
329,1,d2940rxp
330,1,d2940rxp
331,1,d2940rxp
332,1,d2940rxp
333,1,d2940rxp
334,1,d2940rxp
335,1,d2940rxp
336,1,d2940rxp
337,1,d2940rxp
338,1,d2940rxp
339,1,d2940rxp
340,1,d2940rxp
341,1,d2940rxp
342,1,d2940rxp
343,1,d2940rxp
344,1,d2940rxp
345,1,d2940rxp
346,1,d2940rxp
347,1,d2940rxp
348,1,d2940rxp
349,1,d2940rxp
350,1,d2940rxp
351,1,d2940rxp
352,1,d2940rxp
353,1,d2940rxp
354,1,d2940rxp
355,1,d2940rxp
356,1,d2940rxp
357,1,d2940rxp
358,1,d2940rxp
359,1,d2940rxp
360,1,d2940rxp
361,1,d2940rxp
362,1,d2940rxp
363,1,d2940rxp
364,1,d2940rxp
365,1,d2940rxp
366,1,d2940rxp
367,1,d2940rxp
368,1,d2940rxp
369,1,d2940rxp
370,1,d2940rxp
371,1,d2940rxp
372,1,d2940rxp
373,1,d2940rxp
374,1,d2940rxp
375,1,d2940rxp
376,1,d2940rxp
377,1,d2940rxp
378,1,d2940rxp
379,1,d2940rxp
380,1,d2940rxp
381,1,d2940rxp
382,1,d2940rxp
383,1,d2940rxp
384,1,d2940rxp
385,1,d2940rxp
386,1,d2940rxp
387,1,d2940rxp
388,1,d2940rxp
389,1,d2940rxp
390,1,d2940rxp
391,1,d2940rxp
392,1,d2940rxp
393,1,d2940rxp
394,1,d2940rxp
395,1,d2940rxp
396,1,d2940rxp
397,1,d2940rxp
398,1,d2940rxp
399,1,d2940rxp
400,1,d2940rxp
401,1,d2940rxp
402,1,d2940rxp
403,1,d2940rxp
404,1,d2940rxp
405,1,d2940rxp
406,1,d2940rxp
407,1,d2940rxp
408,1,d2940rxp
409,1,d2940rxp
410,1,d2940rxp
411,1,d2940rxp
412,1,d2940rxp
413,1,d2940rxp
414,0,d2940rxp
415,1,d2940rxp
416,1,d2940rxp
417,1,d2940rxp
418,1,d2940rxp
419,1,d2940rxp
420,1,d2940rxp
421,1,d2940rxp
422,1,d2940rxp
423,1,d2940rxp
424,1,d2940rxp
425,1,d2940rxp
426,1,d2940rxp
427,1,d2940rxp
428,1,d2940rxp
429,1,d2940rxp
430,1,d2940rxp
431,1,d2940rxp
432,1,d2940rxp
433,1,d2940rxp
434,1,d2940rxp
435,1,d2940rxp
436,1,d2940rxp
437,1,d2940rxp
438,1,d2940rxp
439,1,d2940rxp
440,1,d2940rxp
441,1,d2940rxp
442,1,d2940rxp
443,1,d2940rxp
